STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
десантн,amphibious,десантный,0.479,0.346,0.445
амфитеатр,amphitheater,амфитеатр,0.653,0.480,0.545
усилен,amplification,усиление,0.690,0.677,0.810
усилива,amplify,усиливать,0.677,0.735,0.827
амплитуд,amplitude,амплитуда,0.694,0.439,0.692
простра,amply,пространно,0.781,0.431,0.766
ампутирова,amputate,ампутировать,0.092,0.660,0.509
ампутац,amputation,ампутация,0.100,0.755,0.483
набрасыва,amuck,набрасываться,0.385,0.602,0.321
амулет,amulet,амулет,0.781,0.260,0.630
озадачива,amuse,озадачивать,0.812,0.684,0.664
довольн,amused,довольный,0.942,0.847,0.596
развлечен,amusement,развлечение,0.929,0.837,0.803
забавн,amusing,забавный,0.960,0.829,0.632
анаконд,anaconda,анаконда,0.146,0.830,0.540
анестез,anaesthesia,анестезия,0.350,0.217,0.473
анестезир,anaesthetic,анестезирующее,0.449,0.268,0.509
анаграмм,anagram,анаграмма,0.552,0.327,0.449
анальн,anal,анальный,0.333,0.798,0.334
анальгетик,analgesic,анальгетик,0.417,0.321,0.441
аналогичн,analogous,аналогичный,0.531,0.270,0.500
аналог,analogue,аналог,0.570,0.320,0.446
анализ,analysis,анализ,0.729,0.448,0.705
аналитик,analyst,аналитик,0.604,0.415,0.755
аналитическ,analytic,аналитический,0.665,0.521,0.634
анализирова,analyze,анализировать,0.667,0.462,0.710
анализатор,analyzer,анализатор,0.625,0.556,0.854
анафилактическ,anaphylactic,анафилактический,0.378,0.588,0.500
анархизм,anarchism,анархизм,0.125,0.804,0.623
анархист,anarchist,анархист,0.204,0.700,0.759
анарх,anarchy,анархия,0.146,0.755,0.620
анастомоз,anastomosis,анастомоз,0.375,0.470,0.490
анафем,anathema,анафема,0.286,0.490,0.519
анатомическ,anatomic,анатомический,0.562,0.442,0.546
анатом,anatomy,анатомия,0.562,0.390,0.571
предок,ancestor,предок,0.592,0.388,0.594
наследствен,ancestral,наследственный,0.640,0.481,0.750
родословн,ancestry,родословная,0.708,0.519,0.717
якор,anchor,якорь,0.520,0.284,0.564
анкеровк,anchorage,анкеровка,0.500,0.325,0.639
древн,ancient,древний,0.420,0.217,0.439
подсобн,ancillary,подсобный,0.449,0.442,0.278
андрог,androgen,андроген,0.255,0.523,0.527
андроид,android,андроид,0.663,0.436,0.500
анекдот,anecdote,анекдот,0.583,0.529,0.500
анем,anemia,анемия,0.188,0.327,0.310
малокровн,anemic,малокровный,0.167,0.279,0.155
анемон,anemone,анемон,0.552,0.538,0.327
анестезиолог,anesthesiologist,анестезиолог,0.419,0.224,0.526
аневризм,aneurysm,аневризма,0.115,0.690,0.536
занов,anew,заново,0.771,0.358,0.385
ангел,angel,ангел,0.906,0.158,0.704
ангельск,angelic,ангельский,0.927,0.298,0.668
гнев,anger,гнев,0.167,0.865,0.657
разозл,angered,разозлило,0.010,0.860,0.547
стенокард,angina,стенокардия,0.230,0.630,0.464
ангиограмм,angiogram,ангиограмма,0.347,0.520,0.465
ангиограф,angiography,ангиография,0.378,0.536,0.520
угол,angle,угол,0.541,0.330,0.455
ужен,angling,ужение,0.625,0.408,0.500
ангор,angora,ангора,0.529,0.425,0.405
angriest,angriest,angriest,0.094,0.892,0.430
сердит,angry,сердитый,0.122,0.830,0.604
тоск,angst,тоска,0.167,0.888,0.333
мучен,anguish,мучение,0.153,0.792,0.265
углов,angular,угловая,0.449,0.281,0.444
безводн,anhydrous,безводный,0.456,0.365,0.355
животн,animal,животное,0.521,0.510,0.513
оживля,animate,оживлять,0.827,0.755,0.635
мультипликацион,animated,мультипликационный,0.823,0.676,0.538
анимац,animation,анимация,0.888,0.750,0.549
злоб,animosity,злоба,0.510,0.724,0.545
предубежден,animus,предубеждение,0.698,0.676,0.466
лодыжк,ankle,лодыжка,0.500,0.274,0.234
ножной браслет,anklet,ножной браслет,0.410,0.276,0.302
аннал,annals,анналы,0.427,0.610,0.424
приложен,annex,приложение,0.594,0.350,0.458
аннекс,annexation,аннексия,0.342,0.500,0.555
аннигилирова,annihilate,аннигилировать,0.115,0.918,0.681
уничтожен,annihilated,уничтоженный,0.080,0.760,0.324
годовщин,anniversary,Годовщина,0.880,0.770,0.723
аннотирова,annotate,аннотировать,0.592,0.469,0.441
аннотирован,annotation,аннотирование,0.604,0.470,0.619
анонсирова,announce,анонсировать,0.694,0.618,0.611
диктор,announcer,диктор,0.602,0.570,0.732
раздража,annoy,раздражать,0.094,0.765,0.286
досад,annoyance,досада,0.167,0.718,0.342
раздражен,annoyed,раздраженный,0.104,0.783,0.345
надоеда,annoys,надоедает,0.146,0.778,0.435
годов,annual,годовой,0.552,0.236,0.500
аннуитет,annuity,аннуитет,0.521,0.304,0.527
кассирова,annul,кассировать,0.250,0.448,0.364
кольцев,annular,кольцевой,0.310,0.385,0.412
упразднен,annulment,упразднение,0.153,0.375,0.447
кольц,annulus,кольцо,0.458,0.380,0.376
помазанник,anointed,помазанник,0.500,0.368,0.579
помаза,anointing,помазав,0.653,0.350,0.547
аномальн,anomalous,аномальный,0.281,0.480,0.423
аномал,anomaly,аномалия,0.188,0.538,0.404
скор,anon,скоро,0.479,0.354,0.298
анонимн,anonymity,анонимность,0.469,0.255,0.430
страдающий отсутствием аппетит,anorexic,страдающий отсутствием аппетита,0.160,0.618,0.245
ответ,answer,ответ,0.537,0.373,0.661
автоответчик,answering,автоответчик,0.684,0.500,0.607
мурав,ant,муравей,0.448,0.216,0.216
антагонизм,antagonism,антагонизм,0.224,0.618,0.524
антагонист,antagonist,антагонист,0.240,0.615,0.700
антагонистическ,antagonistic,антагонистический,0.296,0.604,0.565
противодействова,antagonize,противодействовать,0.143,0.663,0.629
предшеств,antecedent,предшествующее,0.427,0.551,0.566
антилоп,antelope,антилопа,0.542,0.510,0.500
передн,anterior,передний,0.510,0.245,0.362
гимн,anthem,гимн,0.780,0.343,0.729
муравейник,anthill,муравейник,0.327,0.578,0.377
антолог,anthology,антология,0.338,0.406,0.537
сибирская язв,anthrax,сибирская язва,0.188,0.730,0.500
антропологическ,anthropological,антропологический,0.367,0.390,0.490
антрополог,anthropologist,антрополог,0.551,0.385,0.725
ант,anti,анти,0.365,0.412,0.384
зенитн,antiaircraft,зенитный,0.330,0.622,0.629
антибиотик,antibiotic,антибиотик,0.510,0.373,0.658
антихрист,antichrist,антихрист,0.082,0.837,0.544
предвидет,anticipate,предвидеть,0.622,0.469,0.667
предвосхищен,anticipation,предвосхищение,0.698,0.539,0.711
досрочн,anticipatory,досрочный,0.653,0.551,0.682
гримас,antics,гримасы,0.448,0.740,0.236
антидот,antidote,антидот,0.541,0.490,0.629
противогрибков,antifungal,противогрибковый,0.408,0.412,0.441
антигравитацион,antigravity,антигравитационный,0.430,0.714,0.658
сурьм,antimony,сурьма,0.378,0.398,0.490
антипат,antipathy,антипатия,0.198,0.549,0.393
антиквар,antiquarian,антиквар,0.500,0.233,0.426
устарел,antiquated,устарелый,0.420,0.392,0.236
античн,antique,античный,0.634,0.290,0.518
антиквариат,antiques,антиквариат,0.540,0.370,0.595
древност,antiquity,древность,0.385,0.333,0.556
антисептик,antiseptic,антисептик,0.438,0.370,0.623
антиобществен,antisocial,антиобщественный,0.146,0.686,0.391
антитез,antithesis,антитеза,0.396,0.412,0.536
антитетическ,antithetical,антитетический,0.271,0.509,0.358
противовирусн,antiviral,противовирусный,0.459,0.470,0.549
олений рог,antler,олений рог,0.448,0.470,0.500
дерган,antsy,дерганый,0.449,0.558,0.417
анус,anus,анус,0.347,0.644,0.350
наковальн,anvil,наковальня,0.380,0.510,0.604
озабочен,anxious,озабоченный,0.281,0.875,0.434
взволнован,anxiousness,взволнованность,0.235,0.814,0.282
в любой момент,anytime,в любой момент,0.625,0.461,0.436
аорт,aorta,аорта,0.448,0.510,0.542
аортальн,aortic,аортальный,0.436,0.540,0.438
быстр,apace,быстро,0.536,0.500,0.536
апаш,apache,апаш,0.687,0.469,0.500
квартир,apartment,квартира,0.719,0.393,0.580
апартамент,apartments,апартаменты,0.704,0.337,0.443
апатичн,apathetic,апатичный,0.188,0.292,0.333
апат,apathy,апатия,0.184,0.212,0.204
обезьяннича,ape,обезьянничать,0.548,0.389,0.336
апертур,aperture,апертура,0.612,0.450,0.667
апекс,apex,апекс,0.570,0.433,0.418
тля,aphid,тля,0.388,0.473,0.407
афродизиак,aphrodisiac,афродизиак,0.750,0.846,0.667
кусок,apiece,кусок,0.439,0.259,0.383
апломб,aplomb,апломб,0.500,0.509,0.582
апокалипсис,apocalypse,Апокалипсис,0.050,0.867,0.736
апокалиптическ,apocalyptic,апокалиптический,0.173,0.880,0.750
апологетическ,apologetic,апологетический,0.479,0.461,0.571
апологет,apologist,апологет,0.406,0.429,0.526
принести извинен,apologize,принести извинения,0.551,0.378,0.389
аполог,apology,апология,0.571,0.346,0.402
отступничеств,apostasy,отступничество,0.388,0.520,0.517
отступник,apostate,отступник,0.342,0.500,0.528
